column_name,explanation
sms_debit_atm_30d_amount,device info
sms_debit_atm_30d_count,device info
sms_debit_atm_60d_180d_amount,device info
sms_debit_atm_60d_180d_count,device info
sms_debit_ib_180d_360d_amount,device info
sms_debit_ib_180d_360d_count,device info
sms_debit_ib_30d_60d_amount,device info
sms_debit_ib_30d_60d_count,device info
sms_debit_ib_30d_amount,device info
sms_debit_ib_30d_count,device info
sms_debit_ib_60d_180d_amount,device info
sms_debit_ib_60d_180d_count,device info
sms_debit_mb_180d_360d_amount,device info
sms_debit_mb_180d_360d_count,device info
sms_debit_mb_30d_60d_amount,device info
sms_debit_mb_30d_60d_count,device info
sms_debit_mb_30d_amount,device info
sms_debit_mb_30d_count,device info
sms_debit_mb_60d_180d_amount,device info
sms_debit_mb_60d_180d_count,device info
sms_insufficient_funds_180d_360d_amount,device info
sms_insufficient_funds_180d_360d_count,device info
sms_insufficient_funds_180d_360d_unique_accounts,device info
sms_insufficient_funds_30d_60d_amount,device info
sms_insufficient_funds_30d_60d_count,device info
sms_insufficient_funds_30d_60d_unique_accounts,device info
sms_insufficient_funds_30d_amount,device info
sms_insufficient_funds_30d_count,device info
sms_insufficient_funds_30d_unique_accounts,device info
sms_insufficient_funds_60d_180d_amount,device info
sms_insufficient_funds_60d_180d_count,device info
sms_insufficient_funds_60d_180d_unique_accounts,device info
sms_insufficient_funds_account_180d_360d_amount,device info
sms_insufficient_funds_account_180d_360d_count,device info
sms_insufficient_funds_account_30d_60d_amount,device info
sms_insufficient_funds_account_30d_60d_count,device info
sms_insufficient_funds_account_30d_amount,device info
sms_insufficient_funds_account_30d_count,device info
sms_insufficient_funds_account_60d_180d_amount,device info
sms_insufficient_funds_account_60d_180d_count,device info
sms_insufficient_funds_atm_180d_360d_amount,device info
sms_insufficient_funds_atm_180d_360d_count,device info
sms_insufficient_funds_atm_30d_60d_amount,device info
sms_insufficient_funds_atm_30d_60d_count,device info
sms_insufficient_funds_atm_30d_amount,device info
sms_insufficient_funds_atm_30d_count,device info
sms_insufficient_funds_atm_60d_180d_amount,device info
sms_insufficient_funds_atm_60d_180d_count,device info
sms_insufficient_funds_cc_180d_360d_amount,device info
sms_insufficient_funds_cc_180d_360d_count,device info
sms_insufficient_funds_cc_30d_60d_amount,device info
sms_insufficient_funds_cc_30d_60d_count,device info
sms_insufficient_funds_cc_30d_amount,device info
sms_insufficient_funds_cc_30d_count,device info
sms_insufficient_funds_cc_60d_180d_amount,device info
sms_insufficient_funds_cc_60d_180d_count,device info
sms_insufficient_funds_chq_returned_180d_360d_amount,device info
sms_insufficient_funds_chq_returned_180d_360d_count,device info
sms_insufficient_funds_chq_returned_30d_60d_amount,device info
sms_insufficient_funds_chq_returned_30d_60d_count,device info
sms_insufficient_funds_chq_returned_30d_amount,device info
sms_insufficient_funds_chq_returned_30d_count,device info
sms_insufficient_funds_chq_returned_60d_180d_amount,device info
sms_insufficient_funds_chq_returned_60d_180d_count,device info
sms_insufficient_funds_dc_180d_360d_amount,device info
sms_insufficient_funds_dc_180d_360d_count,device info
sms_insufficient_funds_dc_30d_60d_amount,device info
sms_insufficient_funds_dc_30d_60d_count,device info
sms_insufficient_funds_dc_30d_amount,device info
sms_insufficient_funds_dc_30d_count,device info
sms_insufficient_funds_dc_60d_180d_amount,device info
sms_insufficient_funds_dc_60d_180d_count,device info
sms_insufficient_funds_txn_declined_180d_360d_amount,device info
sms_insufficient_funds_txn_declined_180d_360d_count,device info
sms_insufficient_funds_txn_declined_30d_60d_amount,device info
sms_insufficient_funds_txn_declined_30d_60d_count,device info
sms_insufficient_funds_txn_declined_30d_amount,device info
sms_insufficient_funds_txn_declined_30d_count,device info
sms_insufficient_funds_txn_declined_60d_180d_amount,device info
sms_insufficient_funds_txn_declined_60d_180d_count,device info
sms_late_notice_180d_360d_amount,device info
sms_late_notice_180d_360d_count,device info
sms_late_notice_180d_360d_unique_accounts,device info
sms_late_notice_30d_60d_amount,device info
sms_late_notice_30d_60d_count,device info
sms_late_notice_30d_60d_unique_accounts,device info
sms_late_notice_30d_amount,device info
sms_late_notice_30d_count,device info
sms_late_notice_30d_unique_accounts,device info
sms_late_notice_60d_180d_amount,device info
sms_late_notice_60d_180d_count,device info
sms_late_notice_60d_180d_unique_accounts,device info
sms_late_notice_account_180d_360d_amount,device info
sms_late_notice_account_180d_360d_count,device info
sms_late_notice_account_30d_60d_amount,device info
sms_late_notice_account_30d_60d_count,device info
sms_late_notice_account_30d_amount,device info
sms_late_notice_account_30d_count,device info
sms_late_notice_account_60d_180d_amount,device info
sms_late_notice_account_60d_180d_count,device info
sms_late_notice_cc_180d_360d_amount,device info
sms_late_notice_cc_180d_360d_count,device info
sms_late_notice_cc_30d_60d_amount,device info
sms_late_notice_cc_30d_60d_count,device info
sms_late_notice_cc_30d_amount,device info
sms_late_notice_cc_30d_count,device info
sms_late_notice_cc_60d_180d_amount,device info
sms_late_notice_cc_60d_180d_count,device info
sms_late_notice_loan_180d_360d_amount,device info
sms_late_notice_loan_180d_360d_count,device info
sms_late_notice_loan_30d_60d_amount,device info
sms_late_notice_loan_30d_60d_count,device info
sms_late_notice_loan_30d_amount,device info
sms_late_notice_loan_30d_count,device info
sms_late_notice_loan_60d_180d_amount,device info
sms_late_notice_loan_60d_180d_count,device info
sms_unique_days_count,device info
state,user info
stated_income,user info
suit_filed_count_52,bureau info
suit_filed_wilful_default_count_52,bureau info
sum_overdue_amount_52,bureau info
sum_overdue_amount_cc_52,bureau info
sum_overdue_amount_non_cc_52,bureau info
unsecured_inquiry_count_9,bureau info
updated_at,assessment info
version,assessment info
wilful_default_count_52,bureau info
written_off_count_52,bureau info
line_amount,assessment info
